ID,LABEL,Type,SubClass Of,Equivalent Class,comment,hasExactSynonym,hasRelatedSynonym
UO:0000075,normal,Named individual,,,"""A unit of concentration which is one gram equivalent of a solute per liter of solution. A gram equivalent weight or equivalent is a measure of the reactive capacity of a given molecule."" [Wikipedia:Wikipedia]",N,
UO:0000076,mole fraction,Class,concentration unit|fraction|mole fraction based unit,{'mole fraction'},"""A concentration unit which denotes the number of moles of solute as a proportion of the total number of moles in a solution."" [Wikipedia:Wikipedia]",(x)|chi,
UO:0000076,mole fraction,Named individual,,,"""A concentration unit which denotes the number of moles of solute as a proportion of the total number of moles in a solution."" [Wikipedia:Wikipedia]",(x)|chi,
UO:0000077,meter per second per second,Class,acceleration unit|meter per second per second based unit,{'meter per second per second'},"""An acceleration unit which is equal to the acceleration an object changing its velocity by 1meter/s over a time period that equals one second."" [NIST:NIST]",m/s^[2]|metre per second per second,
UO:0000077,meter per second per second,Named individual,,,"""An acceleration unit which is equal to the acceleration an object changing its velocity by 1meter/s over a time period that equals one second."" [NIST:NIST]",m/s^[2]|metre per second per second,
UO:0000078,radian per second per second,Class,angular acceleration unit|radian per second per second based unit,{'radian per second per second'},"""An angular unit acceleration which is equal to the angular acceleration of an object changing its angular velocity by 1rad/s over a time period that equals one second."" [NIST:NIST]",alpha|rad/s^[2],
UO:0000078,radian per second per second,Named individual,,,"""An angular unit acceleration which is equal to the angular acceleration of an object changing its angular velocity by 1rad/s over a time period that equals one second."" [NIST:NIST]",alpha|rad/s^[2],
UO:0000079,radian per second,Class,angular velocity unit|radian per second based unit,{'radian per second'},"""An angular unit velocity which is equal to about 9.54930 rpm (revolutions per minute)."" [NIST:NIST]",rad/s,
UO:0000079,radian per second,Named individual,,,"""An angular unit velocity which is equal to about 9.54930 rpm (revolutions per minute)."" [NIST:NIST]",rad/s,
UO:0000080,square meter,Class,area unit|square meter based unit,{'square meter'},"""An area unit which is equal to an area enclosed by a square with sides each 1 meter long."" [NIST:NIST]",m^[2]|square metre,
UO:0000080,square meter,Named individual,,,"""An area unit which is equal to an area enclosed by a square with sides each 1 meter long."" [NIST:NIST]",m^[2]|square metre,
UO:0000081,square centimeter,Class,area unit|square centimeter based unit,{'square centimeter'},"""An area unit which is equal to one ten thousandth of a square meter or 10^[-4] m^[2]."" [NIST:NIST]",cm^[2]|square centimetre,
UO:0000081,square centimeter,Named individual,,,"""An area unit which is equal to one ten thousandth of a square meter or 10^[-4] m^[2]."" [NIST:NIST]",cm^[2]|square centimetre,
UO:0000082,square millimeter,Class,area unit|square millimeter based unit,{'square millimeter'},"""An area unit which is equal to one millionth of a square meter or 10^[-6] m^[2]."" [NIST:NIST]",mm^[2]|square millimetre,
UO:0000082,square millimeter,Named individual,,,"""An area unit which is equal to one millionth of a square meter or 10^[-6] m^[2]."" [NIST:NIST]",mm^[2]|square millimetre,
UO:0000083,kilogram per cubic meter,Class,mass density unit,{'kilogram per cubic meter'},"""A mass unit density which is equal to mass of an object in kilograms divided by the volume in cubic meters."" [UOC:GVG]",kg/m^[3]|kilogram per cubic metre,
UO:0000083,kilogram per cubic meter,Named individual,,,"""A mass unit density which is equal to mass of an object in kilograms divided by the volume in cubic meters."" [UOC:GVG]",kg/m^[3]|kilogram per cubic metre,
UO:0000084,gram per cubic centimeter,Class,gram per cubic centimeter based unit|mass density unit,{'gram per cubic centimeter'},"""A mass unit density which is equal to mass of an object in grams divided by the volume in cubic centimeters."" [UOC:GVG]",g/cm^[3]|gram per cubic centimetre,
UO:0000084,gram per cubic centimeter,Named individual,,,"""A mass unit density which is equal to mass of an object in grams divided by the volume in cubic centimeters."" [UOC:GVG]",g/cm^[3]|gram per cubic centimetre,
UO:0000085,candela per square meter,Class,candela per square meter based unit|luminance unit,{'candela per square meter'},"""A luminance unit which is equal to a luminous intensity of one candela radiating from a surface whose area is one square meter."" [NIST:NIST]",candela per square metre|cd/m^[2],
UO:0000085,candela per square meter,Named individual,,,"""A luminance unit which is equal to a luminous intensity of one candela radiating from a surface whose area is one square meter."" [NIST:NIST]",candela per square metre|cd/m^[2],
UO:0000086,kilogram per square meter,Class,area density unit,'gram per square meter based unit' and (obo:has_prefix some kilo)|{'kilogram per square meter'},"""An area density unit which is equal to the mass of an object in kilograms divided by the surface area in meters squared."" [NIST:NIST]",Body Mass Index (BMI)|kg/m^[2]|kilogram per square metre,
UO:0000086,kilogram per square meter,Named individual,,,"""An area density unit which is equal to the mass of an object in kilograms divided by the surface area in meters squared."" [NIST:NIST]",Body Mass Index (BMI)|kg/m^[2]|kilogram per square metre,
UO:0000087,kilogram per mole,Class,molar mass unit,'gram per mole based unit' and (obo:has_prefix some kilo)|{'kilogram per mole'},"""A molar mass unit which is equal to one kilogram of mass of one mole of chemical element or chemical compound."" [NIST:NIST]",kg/mol,
UO:0000087,kilogram per mole,Named individual,,,"""A molar mass unit which is equal to one kilogram of mass of one mole of chemical element or chemical compound."" [NIST:NIST]",kg/mol,
UO:0000088,gram per mole,Class,gram per mole based unit|molar mass unit,{'gram per mole'},"""A molar mass unit which is equal to one gram of mass of one mole of chemical element or chemical compound."" [NIST:NIST]",g/mol,
UO:0000088,gram per mole,Named individual,,,"""A molar mass unit which is equal to one gram of mass of one mole of chemical element or chemical compound."" [NIST:NIST]",g/mol,
